time,cases,pop,dpopdt,nino,nina,beta_eff,magnitude
1982.1666666666667,61,4817305.802256561,132884.31123318902,0.05666666666666666,0,0.9755371779019508,0
1982.25,72,4828366.271966011,132573.4727397063,0.26333333333333336,0,0.9498314912249822,0
1982.3333333333333,52,4839401.954362403,132283.2736189502,0.39666666666666667,0,0.987930310336557,0
1982.4166666666667,103,4850413.545710027,131995.2875686625,0.45,0,1.0592724591373637,0
1982.5,118,4861401.230431369,131709.51458884482,0.5433333333333333,0,0.9879239388331288,3
1982.5833333333333,174,4872365.192948994,131425.95467949635,0.8633333333333333,0,0.945438520711934,3
1982.6666666666667,224,4883305.6176854735,131144.60784061637,1.403333333333333,0,0.8967175822603329,3
1982.75,223,4894222.562426903,130860.91516243586,1.8,0,0.9160377870691744,3
1982.8333333333333,204,4905115.578413941,130570.31773518356,2.036666666666666,0,0.9490408802224186,3
1982.9166666666667,290,4915984.090250859,130272.81555885868,2.1566666666666667,0,0.5252787609825331,3
1983,204,4926827.522541842,129968.4086334628,2.1633333333333336,0,0.648667689036198,3
1983.0833333333333,115,4937645.299891164,129657.0969589952,1.89,0,0.9081460043887144,3
1983.1666666666667,53,4948436.905808754,129341.00113902724,1.4233333333333331,0,0.986553000994721,3
1983.25,89,4959202.0594270695,129022.24177713292,1.0766666666666669,0,1.0431683364543034,3
1983.3333333333333,102,4969940.538784314,128700.81887331144,0.7966666666666667,0,0.9675102138777606,3
1983.4166666666667,107,4980652.1219186885,128376.73242756192,0.4433333333333333,0,1.0378631682058366,0
1983.5,165,4991336.5868683085,128049.98243988608,0.05333333333333334,0,1.0323429707384568,0
1983.5833333333333,310,5001993.681437532,127719.48049197569,0,-0.3,0.9376505926170152,0
1983.6666666666667,519,5012623.032495354,127384.13816552248,0,-0.65,0.9189771646429328,-1
1983.75,742,5023224.236676837,127043.95546052828,0,-0.99,0.8414860282396279,-1
1983.8333333333333,881,5033796.890617129,126698.93237699223,0,-1.16,0.6961022495845167,-2
1983.9166666666667,535,5044340.590951386,126349.06891491328,0,-0.9966666666666668,0.6674850935707954,-1
1984,224,5054854.950083392,125994.93274844011,0,-0.63,0.6587568498667585,-1
1984.0833333333333,127,5065339.643491933,125637.09155171848,0,-0.46,0.9324310111586084,0
1984.1666666666667,92,5075794.362424514,125275.54532474736,0,-0.4633333333333334,0.946836436594924,0
1984.25,99,5086218.79812856,124910.29406752875,0,-0.6433333333333334,1.0036102080113902,-1
1984.3333333333333,103,5096612.637335758,124541.17521056192,0,-0.77,1.0451327664340733,-1
1984.4166666666667,196,5106975.548714517,124168.02618434608,0,-0.71,1.046689253227474,-1
1984.5,307,5117307.196417347,123790.84698888326,0,-0.5466666666666666,0.9946894688507966,-1
1984.5833333333333,469,5127607.244596833,123409.63762417252,0,-0.36000000000000004,1.0524249640466816,0
1984.6666666666667,636,5137875.35740557,123024.3980902127,0,-0.4166666666666667,0.8988070024226295,0
1984.75,660,5148111.192299201,122634.88729987212,0,-0.7333333333333334,0.863470398143821,-1
1984.8333333333333,684,5158314.37994599,122240.86416601602,0,-1.0666666666666669,0.8383299500821287,-2
1984.9166666666667,673,5168484.544317338,121842.32868864326,0,-1.2300000000000002,0.7361408982240549,-2
1985,515,5178621.309384564,121439.28086775604,0,-1.0733333333333333,0.7751734996675327,-0
