"sample","sigma","theta","phi","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
3,0.000541970136709184,1.52977895230269,62.434328862051,0,0,0.000100939475123597,1.28312063489515,0.0166666666666667,338.217142525976,116.301188960674,0.354022814058558,0.0298738801926837,0.00419650531418765,0.834286391573079,0.00177619452954586,0.00661913702034825,0.157318276877027,0.0097619706358337,0.00794019752375439,0.590297211731224,-4324.13158156904,5.42288842642656,1
4,0.00129563379690352,3.44360361001845,0.24266092507368,0,0,5.73353214751618e-05,1.02502980122511,0.0166666666666667,42.0254543322338,52.0125004408465,1.64520463800758,0.000610862571295206,0.00277996766596674,0.680906750050201,0.00543672137100098,0.00761652061128519,0.306040007967513,0.0054198058702916,0.00384537222541871,0.434377910394478,-7244.71068758641,1.98324827962148,1
5,0.0566690110454244,2.90996665056178,160.59337249236,0,0,0.000487614661278422,0.949800888469718,0.0166666666666667,27.3595146573933,508.899978082247,0.728624848646452,0.012202812040711,0.00348667535704123,0.734587587471942,0.0113529722673272,0.00178242738966634,0.252277012871065,0.00876255822813516,0.00415178838754017,0.104102167449415,-3470.00639953255,3.45022130313524,1
6,0.0711621363326525,4.51083722669066,98.3446062882397,0,0,2.54577202965757e-07,0.892702604396649,0.0166666666666667,37.8282314229432,295.37512206054,1.56234386726452,0.0217282230029481,0.00761886434816644,0.620180586207534,0.00216583776949106,0.00468390489932446,0.372969671123651,0.00371502371294038,0.00904873298220997,0.00174702407634385,-3344.52547055465,15.1153431708801,1
7,0.101173709162172,3.24939248647133,103.667265032911,0,0,6.06025718061496e-05,0.895727733206539,0.0166666666666667,22.7220691383551,137.866327768769,1.43213973600256,0.0125451503226009,0.00235878016259915,0.714456935767329,0.00419279976874833,0.00754097463679254,0.27380928982713,0.00593660605559762,0.00685398263997608,0.0262291218075881,-3400.217157384,6.97484766213863,1
8,0.0527526020750545,2.87744472841892,27.9027554756548,0,0,8.04046011967752e-06,0.905042674394008,0.0166666666666667,23.3192317381228,5802.63150319765,1.05337190432538,0.0014335653992776,0.0190358453229222,0.904681185974077,0.000832576660823963,0.00529586475974641,0.0891903726053522,0.00159073008132754,0.00236481699461705,0.0718637988588274,-3300.6948033325,0.374701133816567,1
9,0.0734300944612437,2.42511392184229,192.990581117141,0,0,6.66980917489394e-06,0.939245623257693,0.0166666666666667,9821.73914903459,7084.73141588571,19.8400125945449,0.0533385431849443,0.00394078642343711,0.657353991807741,0.00376237542136883,1.70270997102961e-05,0.33886660567118,0.00736426224227893,0.00120970723936257,0.081184219636945,-3291.06880812296,2.43161073770236,1
10,0.0664965929256719,1.72440531137918,29.3698228016616,0,0,0.00191358422048048,0.977536902241185,0.0166666666666667,33.0728579044015,49.8331436375526,0.806504041508762,0.00702298661039047,0.00376594360018908,0.883739479625129,0.00829132009982577,0.00414315381930104,0.103826046455744,0.00262290813734453,0.00497439466217186,0.112418675201927,-3362.51299993531,3.39471299373996,1
1,0.000982033637633929,1.91087710057696,112.225969006197,0,0,0.000380146280484096,0.977753540747641,0.0166666666666667,29.6240680699183,221.099703980418,0.249537117884952,0.0101897138791374,0.00600597230041871,0.985616509887641,0.00244813663781958,0.00855298388478474,0.00338236958975502,0.00953763994127487,0.00742143531765826,0.454998603747244,-4640.62744466613,8.23401233033738,1
2,0.0503369746524423,2.80344088800331,72.0549261318704,0,0,8.27883068772129e-06,0.958398823767321,0.0166666666666667,100.928575348492,210.304113864809,1.42712468812982,0.0379680810976736,0.00513142595640731,0.708773009510993,0.00794486787326804,0.00277745903444114,0.280504663581298,0.00444713031547198,0.00318098592832753,0.138693393105703,-3311.10981103094,0.823044145328272,1
3,0.181373709973449,0.933111159468001,51.6922495542417,0,0,0.00368655772711245,1.01214207296475,0.0166666666666667,24.7201832893034,39.380990504502,0.0353555649466625,0.0370601927005961,0.0143194184970471,0.851725584491354,0.00243269602831725,0.000955673668363376,0.144886045811965,0.00361190039012439,0.00218005470188816,0.0634513912134245,-3513.44437663873,11.6651924436119,1
4,0.128304940078297,-0.602258967154407,530.755827341433,0,0,0.0160170841056638,1.00383311182263,0.0166666666666667,14.2273867946941,243.465158339026,1.29771246457576,0.00549093136981608,0.00427016510753757,0.557815559628407,0.00794282022326295,0.0063133691139511,0.427928251034379,0.00857934995663055,0.00635376167768254,0.0507908231606917,-3329.76660825633,1.79233421854258,1
5,0.0430142640621105,-0.195471083136033,308.39734642261,0,0,7.79929578492254e-05,0.978279500005321,0.0166666666666667,27.1804677012797,781.050967971227,0.639018113045641,0.00253474468541117,0.0038150696007282,0.685072535263463,0.00507902412381649,0.00939772977065768,0.300450710842063,0.00171566759546394,0.00924300187334636,0.121853897416102,-3439.82143022294,8.85977496624106,1
6,0.0425397129239198,1.92866656624296,166.046465853123,0,0,1.87205112522566e-06,0.965225177142938,0.0166666666666667,75.5394802992708,676.621537153485,2.76255673058158,0.0263376500052375,0.00315923966004783,0.965507942995143,0.0106978557874141,0.00340839676291035,0.020385804454533,0.00604042042618519,0.00449491371558357,0.106234443288096,-3323.59066401376,1.00134038278887,1
7,0.0781526022762883,0.0978051158601208,898.612441889282,0,0,0.00048027664099916,0.854501248150007,0.0166666666666667,1450.18926206971,511.441845024238,3.03031483342532,0.0650944959302111,0.00574346218854943,0.668891018105977,0.00410103998950462,0.0015482607203889,0.32545968118413,0.00295803092383538,0.00351079510501585,0.114378112430071,-3328.86286484864,2.69436822173272,1
8,0.0290403181930138,2.17279504330473,22.1499143502663,0,0,1.89303228834519e-05,0.933080429519842,0.0166666666666667,32.2131122133766,287.417490264159,0.90541472052143,0.00157350211783574,0.0090246167922454,0.750117027995835,0.0011236924028876,0.0087474030343453,0.240011876566932,0.00741402602115714,0.00844434731006037,0.109863608972254,-3310.93994503422,1.27718122038073,1
9,0.0421838102470653,-0.219957162248063,53.7799745037056,0,0,3.22767652582818e-05,0.974242896929431,0.0166666666666667,20.5928063996789,1947.05099923538,1.13411895291254,0.00100483921709769,0.0037854764991198,0.855700663795819,0.0128065519677743,0.0133375053461625,0.118155278890244,0.00501719260990014,0.00565512806191064,0.0605135533532489,-3384.78540773426,2.52617551128501,1
10,0.000357529841413962,-0.310854778866649,51.5859099464885,0,0,4.36181174070967e-05,1.64165341025026,0.0166666666666667,33.5852510599129,89.2878401905594,0.28404900470744,0.000837899459755836,0.00245346771391129,0.714007117332392,0.00277381475897526,0.00388111289846544,0.279337955010168,0.0102077217182393,0.00102773797662318,0.790955531421614,-3823.83201151177,0.000379761586763571,1
1,0.0508257300069285,-0.0622457907625121,110.491583416205,0,0,9.54987144973406e-05,0.966803220969915,0.0166666666666667,253.400075214041,62.3847957893434,0.448681032764841,0.022521085017007,0.00748355781934802,0.718015824416556,0.000334269323235599,0.0075395716303624,0.274110334629846,0.00357479283391254,0.00286406649589155,0.108298410696129,-3336.77759955658,2.46516999425329,1
2,0.00071245046936362,2.27335139915412,146.401869663017,0,0,0.000300310042613114,0.918873210546575,0.0166666666666667,56.481714291777,1389.06886737435,1.54323099673975,0.00246092295983395,0.00447254442836143,0.612896424773339,0.00410026296132927,0.00119161720642087,0.381811695058911,0.00812200476026873,0.00681629813135138,0.198784525120408,-3652.06912752141,1.54291772716152,1
3,0.0791097689133916,-0.942044366594508,6047.98247719717,0,0,0.00343778352037343,0.970272350487681,0.0166666666666667,70.2322389007668,339.165886544529,0.727111150713101,0.047070119696756,0.00590372120682122,0.716304301430696,0.00214768873991526,0.00341046376039793,0.27813754606899,0.00123327912849202,0.0096298331102098,0.0685310723022298,-3327.73993539254,3.18609351052317,1
4,0.0471934028065693,4.51394503987612,92.4675820121563,0,0,4.9580590535412e-05,0.978837983450477,0.0166666666666667,172.066165587407,1138.58054647579,2.98787357957334,0.0363008421266029,0.00188180350524249,0.848409513990544,0.0097878697018069,0.0101481943678214,0.131654421939828,0.00594341816820489,0.00489309467544312,0.174592689681806,-3359.66608087757,4.22050488957323,1
5,6.00380156860877e-05,-0.98388039533409,1439.33281605808,0,0,5.93287454864908e-06,1.07138706192476,0.0166666666666667,56.003596792295,46.4712727113793,0.991261324938364,0.0168188601206906,0.00303845592848113,0.587663264889514,0.00675021314320594,0.00500960559552051,0.400576916371759,0.00235789315625194,0.00390694019984752,0.306209112044622,-22795.0700237799,0.0515993194268385,1
6,0.0709866557217396,2.96860952604294,47.7311488752914,0,0,3.26031991592034e-06,0.930645556966998,0.0166666666666667,27.8733400855473,95.1791864600242,0.320383270436767,0.00694666951661033,0.0131525754530055,0.819552830669932,0.0015264216447879,0.000358875782823645,0.178561871902457,0.00702478016784745,0.0088940546158245,0.0827321325584514,-3293.17580395261,7.6563927365448,1
7,0.0489867789234293,1.63027683344266,48.4935280187471,0,0,0.00173262985098872,0.996102358146824,0.0166666666666667,38.883748042324,136.126699665541,96.5782523557145,0.00505094039453542,0.00129244851279371,0.927888389759577,0.010924033251101,0.00343456076523407,0.0577530162240876,0.00422425198719564,0.00622613422864091,0.0720930058942576,-3327.42316000039,0.813992306519516,1
8,0.0804525408708521,0.0473388165744253,365.640604302682,0,0,0.000195548326580982,0.926449020867781,0.0166666666666667,24.2240033126445,277.568311683674,3.52800255243192,0.0133604040462213,0.00741047087058236,0.633743007856926,0.00473816885830548,0.00928526497969963,0.352233558305069,0.00873032858988279,0.00169030303966743,0.122036986055406,-3295.12530041708,0.631390483774828,1
9,0.03013929520026,0.50602225843991,16.5059405471966,0,0,0.00136477958219627,1.02663112142651,0.0166666666666667,39.4337667818229,88.2313872952884,1.08956300191387,0.00214237998165674,0.0037878499637963,0.762649591395663,0.00667510856128675,0.00679808079666586,0.223877219246385,0.0105272284810697,0.00904052156736783,0.132646066348999,-3383.09522583566,15.2349313515671,1
10,0.0700988600442436,2.13802866439027,45.865754113464,0,0,0.00107338113736621,0.932453886161577,0.0166666666666667,34.6790238285797,81.2273628276964,1.31362731026656,0.0103512683213563,0.0095974454890725,0.695581699144916,0.000874146058408755,0.00105290282562671,0.302491251971049,0.00556078194934293,0.00395314171825497,0.0345946378620559,-3326.99154328435,1.02151299233997,1
1,0.0536345647292489,4.05713160410216,35.1319826638524,0,0,0.000263951179643461,0.981291891962368,0.0166666666666667,468.312589477253,97.4625218176658,0.498639847463606,0.0603858491013179,0.00357708548128383,0.699443047888467,0.00805509277929939,0.00384175076514113,0.288660108567092,0.00727339272418633,0.00181080018074296,0.126347086233509,-3672.49219828176,12.7998906301342,1
2,0.0634153326395541,2.66540409582402,61.3887850988871,0,0,0.00178909730646167,0.973424149281386,0.0166666666666667,36.7590855828265,171.271742069868,0.60465232408707,0.0157642090105568,0.005614534170223,0.855569476034251,0.00564596926314272,0.0134491400985545,0.125335414604052,0.00305471188145657,0.00602846027520273,0.116421629748041,-3331.48461474024,2.80890729653484,1
3,0.061059894878619,1.15521523384877,109.940114242547,0,0,1.25648720167959e-05,0.93028386145884,0.0166666666666667,30.0284953885764,208.197305042836,6.95079535028809,0.0109282929613567,0.24888564511065,0.586970906911105,9.33691298095149e-05,0.00618211008870327,0.406753613870383,0.00658534202403048,0.00742990634840444,0.120596502645206,-3301.66385206896,4.64008530927005,1
4,0.00449353068182713,1.32553553347307,50.777772290069,0,0,0.000429158812389754,0.963787909226867,0.0166666666666667,136.387062530242,80.4537316162089,1.57571234948082,0.0211403010365904,0.00253620575144571,0.841319375327296,0.00542641677059563,0.000532693336875126,0.152721514565233,0.00191127781599993,0.00301067349052252,0.30210596676012,-5495.72107268405,3.00694864671721,1
5,0.0378650670701155,0.959089210011499,97.281146630738,0,0,3.04969402817332e-05,0.980103099581525,0.0166666666666667,24.7886777024043,1248.13182625751,1.68110328092176,0.00231081099567129,0.00313115592375755,0.980741470615764,0.00276863071108701,0.00316068104504283,0.0133292176281062,0.00982114614379763,0.00530196518764708,0.127152855202195,-3335.17835366818,7.47377924646802,1
6,0.075369611386141,3.39195836620771,93.8843751735483,0,0,0.000432867610871701,0.935888654256605,0.0166666666666667,35.716124716559,268.513331969913,1.8877871371121,0.028878067890046,0.00355824596712892,0.715000120799168,0.00733673934271442,0.00849902521701232,0.269164114641105,0.00396715342637164,0.00895083662019225,0.115634908787354,-3287.62224297629,1.01557701453444,1
7,2.63678624198794e-07,-0.987792963986878,14252.1381206032,0,0,0.00260232825157452,1.09392671904452,0.0166666666666667,13909.7243252022,4758.48980530961,1.48474398366418,0.0556392840508081,0.00412902335252828,0.809710643504825,0.00576532336398134,0.0013054500684093,0.183218583062784,0.0097568150844475,0.00828269302433714,0.193503096510662,-21689.1390456305,0.351278716186065,1
8,0.14288585653085,2.4046958873553,262.095422762411,0,0,0.0030999802065331,0.740345211573595,0.0166666666666667,66.4764859492656,119.774658528928,0.155154664275954,0.0597842272832407,0.0221348828315734,0.594309110961354,0.000744991124196835,0.00542792246190788,0.399517975452541,0.0045145639288137,0.0034410684241315,0.106967082041894,-3348.34361086464,1.49493885054087,1
9,0.0319963859730377,-0.910792062851273,1358.58919620522,0,0,0.00253483576714027,1.06590964304396,0.0166666666666667,27.727949017188,481.31303310344,1.46877460863791,0.00316048281968856,0.00234142257473251,0.613325867980914,0.0090264826911708,0.00892236028716351,0.368725289040752,0.00702747979541368,0.00151884070336975,0.136032597640091,-4187.76352914161,37.2748784619017,1
10,0.0604782929255459,0.0779463807772729,130.28567475872,0,0,0.00450142481861712,0.922777227393657,0.0166666666666667,35.8357328235754,51.5284307792703,3.35230942789591,0.00608637292115041,0.00156705603284708,0.937638933190955,0.00387844758266687,0.00502958201577239,0.0534530372106057,0.00232677434234502,0.00581920992113979,0.0618417894881022,-3465.42718757506,28.5199809430871,1
1,0.00599794161986342,3.99135463404471,12.3031214127333,0,0,5.41979750707193e-06,0.96788632345222,0.0166666666666667,41.0122131341382,75.2471352569034,0.68037159492235,0.00265507376748451,0.0164565159626661,0.599727120249869,0.00158681702023307,0.00200054371860285,0.396685519011295,0.00542489328644315,0.00710468609446131,0.141667498017644,-3374.55761055031,4.45677675158259,1
2,0.04274117178577,1.16597624925412,149.245970744243,0,0,1.86046410889205e-05,1.01753121244595,0.0166666666666667,22.5999470196513,18046.3504573064,4.02253233725474,0.00408063692433593,0.0014841125974451,0.704951747481445,0.00744945321301227,0.00873038220106498,0.278868417104478,0.00119993940370825,0.00292943110959745,0.142850714899786,-3425.75818228877,4.37842372100396,1
3,0.0473567888274429,2.51249800077481,16.8078191458505,0,0,3.21107089650839e-05,0.992881966988025,0.0166666666666667,25.1207903590678,3075.26473648747,0.430972089859113,0.00115486434553527,0.00522865792891541,0.856336457596173,0.0051329226742927,0.0107398684861946,0.12779075124334,0.00860836918398806,0.00442684534919164,0.115103300074506,-3371.8428713716,1.62785246930025,1
4,0.000103121809723379,-0.974800239905788,7942.43589670595,0,0,2.829983360736e-06,1.00434806605313,0.0166666666666667,517.384558524866,298.549073416184,1.78315987633463,0.0428951554209507,0.00344365632024492,0.697962267651671,0.00744541612842743,0.00320602468027659,0.291386291539625,0.00343050614919663,0.00955364255924806,0.264052987142245,-22791.8681383798,0.127545664992323,1
