time,T,RH,P,date,ndays,pop,dpopdt,beta_eff,cases,year,month,nino,nina
1988.0109289617487,28.23750114440918,59.19000760712997,0.0841028466820716,1988-01-05,31,52491765.73177227,2517.187761090696,0.8889907950157004,NA,1988,1,0.7066666666666667,0
1988.013661202186,26.399998664855957,64.74511183130014,0,1988-01-06,31,52494283.04024827,2517.308476001024,0.7366582653773501,NA,1988,1,0.7066666666666667,0
1988.016393442623,26.274998664855957,66.19232267476252,0.041925773024559,1988-01-07,31,52496800.469444945,2517.429196678102,0.7005033487964014,NA,1988,1,0.7066666666666667,0
1988.01912568306,26.550000190734863,61.36491002028957,0,1988-01-08,31,52499318.01936809,2517.549923144281,0.6390068961110347,NA,1988,1,0.7066666666666667,0
1988.0218579234972,26.91249942779541,60.99123733244902,0.056658998131752,1988-01-09,31,52501835.690023504,2517.670655414462,0.7647718196107791,NA,1988,1,0.7066666666666667,0
1988.0245901639344,28.566666497124565,60.95519110613215,0.4984583556652069,1988-01-10,31,52504353.48141697,2517.791393466294,0.8711532455841171,NA,1988,1,0.7066666666666667,0
1988.0273224043715,27.4375,64.64835748954455,0.0403493382036685,1988-01-11,31,52506871.393554285,2517.9121373146772,1.0052797501592772,NA,1988,1,0.7066666666666667,0
1988.0300546448088,26.943751335144043,60.48343174670721,0.2140838950872421,1988-01-12,31,52509389.426441245,2518.0328869596124,0.8136913401868082,NA,1988,1,0.7066666666666667,0
1988.032786885246,26.387499809265137,61.58040558644895,0.6469845771789551,1988-01-13,31,52511907.580083616,2518.153642371297,0.7345728456394384,NA,1988,1,0.7066666666666667,0
1988.035519125683,26.4375,66.82346869148007,0.0243481900542974,1988-01-14,31,52514425.85448722,2518.274403601885,0.7388608461162907,NA,1988,1,0.7066666666666667,0
1988.03825136612,27.274999618530273,70.44266918944342,0.0189785305410623,1988-01-15,31,52516944.24965782,2518.395170599222,0.7278828139187477,NA,1988,1,0.7066666666666667,0
1988.0409836065571,27.31428418840681,68.92129866668486,0,1988-01-16,31,52519462.76560121,2518.5159433931112,0.8153717023076918,NA,1988,1,0.7066666666666667,0
1988.0437158469945,28.13749885559082,58.47461662231056,0,1988-01-17,31,52521981.402323216,2518.6367220059037,0.8244026427140964,NA,1988,1,0.7066666666666667,0
1988.0464480874316,26.374998569488525,56.92864678076029,0.0837401375174522,1988-01-18,31,52524500.15982959,2518.7575063705444,0.8283421371863023,NA,1988,1,0.7066666666666667,0
1988.049180327869,24.085714067731583,59.81178391744115,0,1988-01-19,31,52527019.03812613,2518.878296546638,0.4623698328896316,NA,1988,1,0.7066666666666667,0
1988.051912568306,25.1875,57.779582841871594,0,1988-01-20,31,52529538.03721866,2518.999092526734,0.5943095414050947,NA,1988,1,0.7066666666666667,0
1988.0546448087432,26.012499809265137,60.12613567447904,0,1988-01-21,31,52532057.15711294,2519.1198942810297,0.6945953106817626,NA,1988,1,0.7066666666666667,0
1988.0573770491803,26.462498664855957,66.0394527391212,0,1988-01-22,31,52534576.39781478,2519.240701839328,0.6538670502151319,NA,1988,1,0.7066666666666667,0
1988.0601092896177,27.23750114440918,70.92155808182166,0,1988-01-23,31,52537095.759329975,2519.3615151941776,0.8471909168178265,NA,1988,1,0.7066666666666667,0
1988.0628415300544,27.824999809265137,70.56063476430177,0,1988-01-24,31,52539615.2416643,2519.4823343232274,0.9138848840505317,NA,1988,1,0.7066666666666667,0
1988.0655737704917,28.25,76.80016790104155,0,1988-01-25,31,52542134.844823554,2519.6031592562795,1.0175360812093532,NA,1988,1,0.7066666666666667,0
1988.068306010929,28.774999618530273,77.98247202697581,0.2775253057479858,1988-01-26,31,52544654.56881355,2519.723989993334,0.9974312466430969,NA,1988,1,0.7066666666666667,0
1988.0710382513664,29.41666539510091,73.73921864489671,0.0427681803703308,1988-01-27,31,52547174.413640074,2519.84482652694,1.0869381087809435,NA,1988,1,0.7066666666666667,0
1988.073770491803,29.037498474121097,75.22039153299741,0.6134979128837585,1988-01-28,31,52549694.37930891,2519.965668834746,1.0839210137333306,NA,1988,1,0.7066666666666667,0
1988.0765027322404,28.787500381469727,76.53635413680244,0.0677374228835105,1988-01-29,31,52552214.46582586,2520.0865169540048,1.0082186999312608,NA,1988,1,0.7066666666666667,0
1988.0792349726776,29.487499237060547,71.4428762930515,0.0017841814551502,1988-01-30,31,52554734.67319673,2520.2073708698153,1.045423091517791,NA,1988,1,0.7066666666666667,0
1988.0819672131147,29.58750057220459,73.2154277865753,0.0071591013111174,1988-01-31,31,52557255.0014273,2520.3282305672765,1.1211402710586855,NA,1988,1,0.7066666666666667,0
1988.084699453552,28.325000762939453,77.7497746359789,0.778018057346344,1988-02-01,29,52559775.45052337,2520.44909606874,1.1012352942076933,266,1988,2,0.4266666666666667,0
1988.0874316939892,28.287501335144043,75.61517923270719,0.042671050876379,1988-02-02,29,52562296.02049074,2520.5699673742056,1.0310343445902987,NA,1988,2,0.4266666666666667,0
1988.0901639344263,28.575000762939453,75.4755657720487,0.01927993260324,1988-02-03,29,52564816.71133521,2520.6908444687724,1.0535672177511937,NA,1988,2,0.4266666666666667,0
1988.0928961748632,28.928571428571427,73.98916584152627,0.0228278674185276,1988-02-04,29,52567337.52306256,2520.81172734499,1.1214786011082387,NA,1988,2,0.4266666666666667,0
1988.0956284153008,28.685714721679688,71.0299501383927,0,1988-02-05,29,52569858.455678605,2520.932616047561,0.9945108603779219,NA,1988,2,0.4266666666666667,0
1988.0983606557377,28.087498664855957,75.64917274839168,0,1988-02-06,29,52572379.509189144,2521.0535105392337,0.9907979177217103,NA,1988,2,0.4266666666666667,0
1988.1010928961748,29.512499809265137,72.96604326321292,0,1988-02-07,29,52574900.68359995,2521.174410805106,0.98487332009972,NA,1988,2,0.4266666666666667,0
1988.103825136612,29.237500190734863,75.150416989113893,0.228586196899414,1988-02-08,29,52577421.97891685,2521.2953169047832,1.143231736253627,NA,1988,2,0.4266666666666667,0
1988.1065573770493,29.35714176722935,74.09386232041818,1.9343727827072144,1988-02-09,29,52579943.395145625,2521.4162287712097,1.164708229856193,NA,1988,2,0.4266666666666667,0
1988.1092896174864,26.783331553141277,84.85301462229947,3.339399576187134,1988-02-10,29,52582464.93229208,2521.5371464565396,0.8286088919720493,NA,1988,2,0.4266666666666667,0
1988.1120218579235,27.824999809265137,76.34111914599133,0.3627159595489502,1988-02-11,29,52584986.59036202,2521.6580699384212,0.9715805880717778,NA,1988,2,0.4266666666666667,0
1988.114754098361,27.887500762939453,78.45668519983631,0.4376180469989776,1988-02-12,29,52587508.36936123,2521.778999209404,0.9479007356218123,NA,1988,2,0.4266666666666667,0
1988.1174863387976,28.67142813546317,73.23622908940436,0.0105246538296341,1988-02-13,29,52590030.26929551,2521.899934284389,0.9950703707697692,NA,1988,2,0.4266666666666667,0
1988.120218579235,28.86666742960612,74.23435884672135,0.3216730952262878,1988-02-14,29,52592552.29017066,2522.020875148475,1.1631158381070221,NA,1988,2,0.4266666666666667,0
1988.122950819672,27.399998664855957,77.53527342034826,3.4287407398223877,1988-02-15,29,52595074.4319925,2522.1418218389153,0.882906008087275,NA,1988,2,0.4266666666666667,0
1988.1256830601096,27.635713849748885,78.50720253243367,1.0687408447265625,1988-02-16,29,52597596.69476682,2522.2627743184566,0.9704558098924119,NA,1988,2,0.4266666666666667,0
1988.1284153005463,26.685712541852677,81.00989750672201,7.2957000732421875,1988-02-17,29,52600119.0784994,2522.3837325796485,0.7385589063433198,NA,1988,2,0.4266666666666667,0
1988.1311475409836,26.899998982747395,78.86039108449513,0.0932972133159637,1988-02-18,29,52602641.58319605,2522.504696652293,0.8401149620817029,NA,1988,2,0.4266666666666667,0
1988.1338797814208,28.9499994913737,59.64722023012095,1.2033956050872805,1988-02-19,29,52605164.208862595,2522.625666543842,0.9676092331527074,NA,1988,2,0.4266666666666667,0
1988.136612021858,27.257142203194753,64.48915160004483,0,1988-02-20,29,52607686.95550482,2522.74664222449,0.8651773579854128,NA,1988,2,0.4266666666666667,0
1988.139344262295,27.714285714285715,61.969423950945824,0,1988-02-21,29,52610209.823128514,2522.867623694241,0.8456498762906085,NA,1988,2,0.4266666666666667,0
1988.142076502732,27.9375,59.48132907456168,0,1988-02-22,29,52612732.81173949,2522.9886109754443,0.8210566066329547,NA,1988,2,0.4266666666666667,0
1988.1448087431695,28.285714285714285,68.37051836151896,0,1988-02-23,29,52615255.92134355,2523.10960406065,0.9311614557168618,NA,1988,2,0.4266666666666667,0
1988.1475409836064,29.19999933242798,76.49499343945577,0.0122538534924387,1988-02-24,29,52617779.15194649,2523.230602942407,1.1437038854216708,NA,1988,2,0.4266666666666667,0
1988.150273224044,28.73750114440918,75.88374381973605,0.7058650255203247,1988-02-25,29,52620302.50355413,2523.3516076356173,1.0500459864824045,NA,1988,2,0.4266666666666667,0
