"sample","sigma","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
2,0.080005546629566,3.99702479126982,0.0336994060161117,0.0506700289561134,6.95196001122491e-06,0.843429399743208,0.0166666666666667,24.610519055677,191.454649211276,1.63377912314872,0.0126444773275783,0.00803324037383606,0.620016434170717,0.00414314393976231,0.00865222009270069,0.36718820179682,0.00860822267110518,0.00598658925675835,0.0856112398560611,-3312.33984987744,1.45121897635914,1
3,0.0990353282122286,2.12122014282033,0.0496265399963525,0.0388094750304709,6.83237476099444e-05,0.769068904611554,0.0166666666666667,17.8521221612808,74.7863092466343,1.35741959092872,0.00329797762737991,0.00776724806692193,0.704519511654174,0.00341945794000798,0.00525338045658038,0.286807649949238,0.00123687423654362,0.00279616230874071,0.0921256924935012,-3332.84808519062,0.744731877944739,1
4,0.103953906790232,3.7359933208039,-0.0507279049375541,0.191841425232373,9.15991151444787e-06,0.821375419853036,0.0166666666666667,19.0228040616115,1782.08591078161,3.86043307438563,0.00299264389524172,0.00460876161289924,0.813969984981224,0.0100034866216919,0.00269756545693761,0.173328962940146,0.00609715286700761,0.00622078050342279,0.0104773545559597,-3333.0211368557,0.763303329587755,1
5,9.83885091988844e-05,0.691261077191286,-0.0102155065285329,0.00765528476390571,4.63297714656082e-07,0.988824608881732,0.0166666666666667,28.7506687847133,88.3673757921915,1.01679234915829,0.000531956262546166,0.00271688139787195,0.95865331587575,0.00792668267634041,0.00953003912187809,0.0238899623260316,0.0074974718760866,0.00516064068684803,0.515054247046242,-3826.29128293119,0.666136262233745,1
6,0.000949167712201706,3.01494340945373,-0.0127622536480998,0.0404619447962547,0.00109973252430812,1.01106227406223,0.0166666666666667,37.5577436335407,82.0540634326567,2.87064384582522,0.00188410033856834,0.00269340788209094,0.684285445521225,0.00278316293589143,0.00511309363788271,0.307818297905001,0.00312777545205455,0.00947513951898429,0.520259460901354,-4785.5268660377,2.51867652559834,1
7,0.0594386489754292,4.68915116662594,-0.158326420096494,-0.00336712707851726,0.000441030211924517,0.964371536084839,0.0166666666666667,35.6400104666947,112.722197520157,0.297312935441693,0.00498414102148097,0.00694779614743733,0.741726599355933,0.00550328377730006,0.00904951458762492,0.243720602279142,0.00412485249251601,0.00833667320297256,0.12812250387102,-3440.02334111658,0.839584519801565,1
8,0.108239008083003,3.49877583201589,-0.00691467055569766,0.184985136175987,0.000978629416759486,0.883398825299786,0.0166666666666667,241.234661510511,70.9939784952698,0.785064442127826,0.0504344791602364,0.0064514206477017,0.946470405319525,0.00282765350836079,0.00737543759844036,0.0433265035736733,0.00875720884377962,0.00461032831887468,0.00283878451339574,-3353.75824918776,24.8133800147323,1
9,0.0883061574425991,3.23346182163897,-0.0157776814592297,0.0976030414633034,4.37657099969312e-05,0.76088197259735,0.0166666666666667,43747.7579566554,202.396691929604,3.43759458203469,0.057856670280634,0.0102566435939121,0.82859542257481,0.00410480386657925,0.00764938870306821,0.159650384855543,0.00620643040000835,0.00627304501806533,0.0740283562853947,-3328.7718650627,6.93907227939272,1
10,0.280831662313478,5.88616402540635,-0.0569330100382633,0.228039534278206,0.000104161894168195,0.832809826361811,0.0166666666666667,153.04334434382,2468.06908707272,0.0279151890273255,0.156193442204891,0.0149944416766507,0.548723063142572,0.00862300598289924,0.00238511235588426,0.440268818518645,0.00152453565055967,0.00212323406673549,0.161680684335593,-3433.19029177616,2.86881854427122,1
1,0.0423365438060759,5.23501332806107,-0.0904948825666045,0.0719871719605492,0.000381025931613463,0.945455200646079,0.0166666666666667,37.411639465041,969.880316887942,45.7931391622633,0.00375823793000884,0.00156716308616712,0.698259052202832,0.00590072676828395,0.00322383834717975,0.292616382681704,0.00870426117245332,0.00741479541334855,0.0640373519914053,-3337.25912116435,3.59934460400612,1
2,0.0588809441318948,5.67497334767671,-0.0771880698741701,0.0863880014651585,0.00140594070719432,0.934279216623445,0.0166666666666667,219.833331163953,3135.94759504111,1.57874764043906,0.0418795103848827,0.00214672637545125,0.861715477335022,0.00396657140340529,0.0115710456778678,0.122746905583705,0.00510296593275399,0.00315218557995257,0.116812990569293,-3442.47214634391,3.45507554790148,1
3,0.0912729316795047,3.82917742229971,0.0116538905238165,-0.0856356367357227,0.000286846614507827,0.950093143231591,0.0166666666666667,18.5947392824507,130.896165978797,243.071450671409,0.00367306025807326,0.0348966416446165,0.788617105829491,0.000397793410411977,0.00113341321417553,0.209851687545921,0.00271273267455349,0.0109236964238686,0.0785320170473445,-3308.22413508311,1.72221616894204,1
4,3.79912274878789e-05,4.88468298151447,-0.0335436186699811,0.0261500844543504,8.35040388433661e-05,0.94797131966892,0.0166666666666667,98.3902590021423,415.008129016408,0.734590403999696,0.025274510001889,0.147859086121179,0.614229663575341,0.00470737547420957,0.00588443893099608,0.375178522019453,0.0072919531671926,0.00520872809990766,0.335305880520128,-5144.12562828607,14.1009575271116,1
5,0.0992217827123804,3.09406473538805,0.0168716257132303,0.00642646730235099,0.000174953450253511,0.837961311309421,0.0166666666666667,17.0724544756062,605.112938306182,107.331363913295,0.00213319871913856,0.0031189443725148,0.908304851654229,0.00133735663755109,0.0099495773838212,0.0804082143243987,0.00483998413397274,0.00710483181408245,0.0677794487357238,-3315.62159104685,0.445098682807091,1
6,0.136069348344513,1.26961038303104,-0.193423177619454,0.152068109998789,3.85114331177654e-05,0.668719622191263,0.0166666666666667,22.0865653165054,339.960368123341,10.7867737211744,0.0390485389633311,0.564456780800516,0.736754245214455,0.00441083396384445,0.00222163260885431,0.256613288212847,0.00944247282258218,0.0034774581685802,0.107974245944338,-3459.69954288311,0.845358920344524,1
