"sample","sigma","theta","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.000213849190004993,0.978822260917574,0,0.00645156928108234,1.36237786895595e-05,0.999243447715864,0.0166666666666667,29.6441916561632,152.377254113752,0.291465105758373,0.000440710732062155,0.0058446876472438,0.738059383100947,0.0059240550830684,0.00247442556936583,0.253542136246618,0.00862063282994157,0.00780396357840082,0.350774822361269,-4449.77990094928,3.98443078997862,1
2,0.137156675673791,1.44451135670006,0,0.175614096025116,6.58211753970126e-07,0.752267176924232,0.0166666666666667,13.5138169540545,45.4840154911792,2.91586681571218,0.00363824436351747,0.0138476912048013,0.859576059246414,0.00381972221923365,0.0107789081514875,0.125825310382865,0.00484734339674861,0.00297146707653119,0.0364052309800899,-3355.88093558729,12.7204729450197,1
3,0.0711067795520869,2.37734709378982,0,0.0843768886214112,2.15906256455551e-05,0.89703043376383,0.0166666666666667,17.0184182054608,2460.53031576818,0.124178787246186,0.000812429545914047,0.0124866273626322,0.785349353610605,0.000399985192833014,0.00105291022782375,0.213197750968738,0.00288490318740958,0.0100646960763414,0.0971677868508726,-3351.38174889189,7.9738931377067,1
4,0.0444218833086271,5.57391888532935,0,-0.0247329402109153,0.00215012285000327,1.02213510072371,0.0166666666666667,148.467934220229,151.973312290383,0.182661295253512,0.028965216370668,0.00836057202151417,0.512600911482868,0.00476423176334053,0.00555238545403338,0.477082471299758,0.00682777417640737,0.00559740101228332,0.133427538472109,-3493.20264784105,4.17452329487979,1
5,0.0482514166105646,5.74284696243419,0,0.0374218435898631,0.00311936690256203,0.978539119459253,0.0166666666666667,39.9492137393486,702.601435623007,3.03632142501702,0.0207262433965558,0.00224515047232798,0.900992421952341,0.00149725152175142,0.0111968103492894,0.0863135161766183,0.00454339611106706,0.00828303055346168,0.134469792414881,-3337.0961033743,2.97436918058817,1
6,0.0452129760160045,3.14108441289313,0,-0.0160611162251073,0.000140911890728765,0.914454524115443,0.0166666666666667,27.1165805804159,262.179528929687,0.248400971838215,0.0013847110199906,0.00703333298945617,0.741543270184373,0.00491184887801257,0.00284006553080373,0.250704815406811,0.00909583226122148,0.00351267143122283,0.0983245891071336,-3437.64993603845,0.980103244104493,1
7,0.200129926712114,0.812909912747699,0,0.198363063375556,1.87383685969213e-05,0.663025917572882,0.0166666666666667,25.1528633926234,43.1508189530403,0.265157205951112,0.0691611554165484,0.116520728715496,0.56002299185723,0.00779010239380456,0.00513869959776048,0.427048206151204,0.00684016093090188,0.00606625427085626,0.134851422831309,-3402.07815708322,0.762107153510726,1
8,0.0992079875533979,3.44131372169194,0,0.0528043302814288,0.00957159507949511,0.860393169529883,0.0166666666666667,22.8428635134738,97.4496770625328,11.8606447769728,0.0110110936604886,0.00535342846034874,0.825236940226903,0.00363788476391984,0.000581535394790645,0.170543639614387,0.00219336443254205,0.0014636263390232,0.081059166368584,-3347.12597347595,2.091707518715,1
9,0.000975802670345559,5.59017487733329,0,-0.00754359130020834,0.000435677779652871,1.0039637299736,0.0166666666666667,465.16598771017,286.002246068748,0.53085111920285,0.0382563231382132,0.00482374446152717,0.986954586232536,0.00593106018487933,0.00563501829447183,0.00147933528811309,0.00728428963941355,0.00726514164430809,0.410796716183503,-5071.99059206349,24.8323087449408,1
10,0.0711444573610254,4.85454862569654,0,0.0885702623706228,0.00422457465038066,0.838373732471382,0.0166666666666667,31.5362266217657,6366.23755344724,4.49699312844797,0.0186225531872206,0.00294934967590463,0.780839090632315,0.00789560351788896,0.00709830125766195,0.204167004592134,0.00317970172428826,0.00249540097808308,0.058067194162385,-3350.9117802564,2.07144259681629,1
