date,time,cases,pop,dpopdt,beta_eff,oni,roni,beta_eff_cov,season6
1980-11-20,1980.8852459016393,,4.6748310088049015e6,541.152591080447,0.9401508426891636,-0.10657692,0.17512332,0.7434879020856413,0.5847589298957686
1980-11-21,1980.8879781420765,,4.675372192718764e6,541.2152378534932,0.9343198777287396,-0.10657692,0.17512332,0.7434879020856413,0.5767913026495318
1980-11-22,1980.8907103825136,,4.675913439283026e6,541.2778918788713,0.9009108578295362,-0.10657692,0.17512332,0.7434879020856413,0.5685505247871704
1980-11-23,1980.8934426229507,,4.6764547485049395e6,541.3405531574207,0.7821560194776255,-0.10657692,0.17512332,0.7434879020856413,0.5600498132739806
1980-11-24,1980.896174863388,,4.676996120391759e6,541.4032216899813,0.856332711904404,-0.10657692,0.17512332,0.7434879020856413,0.5513023850745208
1980-11-25,1980.8989071038252,,4.677537554950738e6,541.4658974773927,0.8633748161113773,-0.10657692,0.17512332,0.7434879020856413,0.5423214571555438
1980-11-26,1980.9016393442623,,4.678079052189132e6,541.5285805204948,0.975341839564937,-0.10657692,0.17512332,0.7434879020856413,0.5331202464816281
1980-11-27,1980.9043715846994,,4.678620612114198e6,541.5912708201275,1.0660114222363488,-0.10657692,0.17512332,0.7434879020856413,0.5237119700180699
1980-11-28,1980.9071038251366,,4.679162234733192e6,541.653968377131,1.035696070964165,-0.10657692,0.17512332,0.7434879020856413,0.5141098447301652
1980-11-29,1980.9098360655737,,4.679703920053372e6,541.7166731923454,1.0323203317193568,-0.10657692,0.17512332,0.7434879020856413,0.5043270875832103
1980-11-30,1980.9125683060108,274.0,4.680245668081996e6,541.7793852666109,0.9965257795146883,-0.10657692,0.17512332,0.7434879020856413,0.49437691554250146
1980-12-01,1980.9153005464482,,4.680787478826325e6,541.8421046007679,1.1540801505026042,-0.10657692,0.17512332,0.7434879020856413,0.4842725455724879
1980-12-02,1980.9180327868853,,4.681329352293618e6,541.9048311956568,0.941073514897685,-0.10657692,0.17512332,0.7434879020856413,0.47402719464014836
1980-12-03,1980.9207650273224,,4.681871288491136e6,541.9675650521182,0.8317986018928759,-0.10657692,0.17512332,0.7434879020856413,0.46365407970994454
1980-12-04,1980.9234972677596,,4.682413287426143e6,542.0303061709927,0.977169508201992,-0.10657692,0.17512332,0.7434879020856413,0.4531664177471725
1980-12-05,1980.9262295081967,,4.682955349105899e6,542.093054553121,1.1024581321376683,-0.10657692,0.17512332,0.7434879020856413,0.4425774257171285
1980-12-06,1980.9289617486338,,4.68349747353767e6,542.1558101993439,1.204968413800554,-0.10657692,0.17512332,0.7434879020856413,0.4319003205851087
