"sample","sigma","theta","phi","bNina","bNino","beta_out","alpha","delta","muEI","muIR","muRS","tau","rho","S_0","E_0","I_0","R_0","K_0","F_0","sig_obs","loglik","loglik.se","flag"
1,0.106243299127304,-0.256166646617969,480.551163646102,-0.0836772024690045,-0.0327059410363089,4.2900498053885e-05,0.943083664517354,0.0166666666666667,18.6738175928003,148.809004965067,0.155054821814944,0.00442441302544467,0.00802028285414559,0.832394454662207,0.00294150422043023,0.00159199138077758,0.163072049736585,0.00168162004830931,0.00135153836157523,0.0985382153690077,-3462.92681823424,0.860273026672537,1
2,0.0200161236648721,10.2244114312526,16.9869381013553,-0.306402102536594,0.504376930713994,0.000311092298691235,0.998194613532654,0.0166666666666667,30.1625268502623,583.74614473484,2.23896573419353,0.00263708218441489,0.00195358457417032,0.606120002171958,0.00816722280766096,0.00603721586730257,0.379675559153079,0.00645651006325425,0.00571732878162603,0.183304837843923,-3673.65281354797,0.98353204609265,1
3,0.0660466544251296,3.48187181966251,11.398619871852,0.649163516684682,-0.337621776023901,0.00179315418568355,0.955118429957583,0.0166666666666667,25.8122572002671,52.395549791926,2.06295707438621,0.00316664262547667,0.00319168333959041,0.965399910521454,0.0102534540687799,0.0111650253850784,0.0131816100246878,0.0025706228665311,0.00759452713041054,0.134869640067874,-3320.34181413273,0.604684414575947,1
4,0.098459066348399,3.25050804872218,47.498583754804,0.100655553874974,0.155865504598486,2.69237454593374e-05,0.826771959046356,0.0166666666666667,26.0851457352744,34.6687471351567,4.43185017824195,0.0055009019369177,0.00804796585366181,0.787160786367116,0.00185925321665325,0.00254308380067144,0.208436876615559,0.0068223374409092,0.0020293283478893,0.0836324855274113,-3317.30882117066,0.781887015487873,1
5,0.000179625155327015,5.27716754396211,0.907230988245566,0.339130241213071,-0.280446536389749,1.56199329478047e-05,1.22268728093341,0.0166666666666667,39.2365973228606,67.1103308396784,0.404098975395547,0.000787629473674744,0.00291666749379869,0.662836084653871,0.00846806031946691,0.000409024810043293,0.328286830216619,0.00460444133520121,0.00420556877832761,0.647902338127365,-3974.77750706191,0.00341370229830829,1
6,7.24477752437137e-05,7.50991308342071,38.437159052168,-0.107497403483037,0.0973957208545454,5.1830172172211e-06,1.00289993864574,0.0166666666666667,2632.84770938969,625.462316970128,2.29863996827417,0.0423419184335775,0.00200047246528893,0.780942239572724,0.00661191085619084,0.00766080509627643,0.204785044474809,0.00886513047230689,0.00851392186764669,0.435482508606614,-10513.891832778,22.5203230347666,1
7,0.0575561907965724,5.36183685853392,10.5473307287156,-0.439626095452255,-0.394375485135942,1.06180627651692e-06,0.979887512597199,0.0166666666666667,20.8797717680752,272.524533140204,1.33929545177378,0.00186982705678881,0.00291317319905938,0.830224967801355,0.00888612073939156,0.00490946081285011,0.155979450646403,0.00907541018516741,0.00534569826250634,0.11278695715168,-3335.35460028177,1.01231026127532,1
8,0.000947768150027084,5.9871962873511,8.17204526428133,2.75642667303828,0.103755534746707,3.55545239862639e-06,0.989911836170432,0.0166666666666667,123.952605565321,47.3674392164033,5.46875078272671,0.0206074343509536,0.00161190158019374,0.583235478052894,0.00584917895160372,0.000605036892945606,0.410310306102557,0.00403621406129114,0.00969730082988532,0.422486479465383,-9730.61395676042,17.539507814808,1
9,0.0505488580064111,4.16733927799957,53.0160618716666,-0.296769610679916,0.507068954700986,0.000187277962720548,1.00039161831411,0.0166666666666667,2008.28147704159,435.599005847394,9.91998151067051,0.0351636157627714,0.00111935565486993,0.713599840407443,0.00648973091227377,0.00281340583306767,0.277097022847216,0.00704655214533942,0.00752543535896958,0.0930910535685292,-3334.77138201955,4.03754910571644,1
10,0.0624250197373647,5.23287645166559,97.7917640849067,1.2893071928756,-1.79373764935737,2.04019764734055e-06,0.978593474428219,0.0166666666666667,31.1157280752405,2094.6459290896,1.93512483243675,0.0170149803863372,0.00219493190784171,0.953609843313547,0.00281466748844681,0.00924258975804797,0.0343328994399583,0.00207137222407302,0.00295291965094438,0.114027912489985,-3389.1361380092,5.6380326489443,1
